,lyricid,lyricinfo,length
10,"Pandas(Index=10, LYRICS=""how about being lonely. gonna give my soul to you. like thousand lights shining on my skin. can you feel inside of me?, my heart beating, lonely sound, it touches my skin, it touches my soul, do you really understand me?, i touches my skin, it touches my soul, do you feel the same why i do?, the atmosphere is mighty, colours of hope are lightening me. seduce my mind, lift me up real high, something sweet i can't resist, all these questions bring me down. do you feel the same why i do?"")","soul, lonely, seduce",1
11,"Pandas(Index=11, LYRICS=""i wonna know where you are. if only you could tell. i wonna know where you are. you're more than everything to me. and tell me will you ever change your mind?, and maybe one day your heart will be mine. one day you'll be mine, you'll be mine, you will be mine, i wonna be in your arms, if only for one day. i wonna be in your arms. you feel so far away from me. and tell me will you ever change your mind?, and maybe one day your heart will be mine. one day you'll be mine, you'll be mine, you will be mine"")","wonna, tell, heart",1
12,"Pandas(Index=12, LYRICS='do you ever question your life?, do you ever wonder why?, do you ever see in your dreams. all the castles in the sky. oh, tell me why. do we build castles in the sky. oh, tell me why. all the castles way up high. please tell me why, do we build castles in the sky. oh, tell me why. all the castles way up high.')","castles, dreams, sky",1
13,"Pandas(Index=13, LYRICS=', bara suayo, omonia lawana mama kenirawo e, bara suayo, omonia lawana mama kenirawo e, obbara suayo eke eshu oddara, omonia lawana mama kenirawo e')","lawana, bara, omonia",1
14,"Pandas(Index=14, LYRICS=""even if i feel the sun on my skin everyday, if i don't feel you, even if i feel the most beautiful things up in the sky, if i don't see you, take me oya, even if my hand's skin catch the wind, catch the cloud, if i don't see you, even if i feel the sun on my skin everyday, if i don't feel you, take me oya, toi, le soleil, l'uni, toi qui parles a mon coeur, toi, le soleil, l'uni, mais qui pars sans moi, toi qui pars sans moi, take me oya, oya wemilloro e"")","sun, moi, oya",1
15,"Pandas(Index=15, LYRICS=""welcome to my earth, it's a crying shame, we have built a foolish world, busy fighting, full of lying and denying, my ghosts are not gone, they dance in the shade, and gives the black core of my heart, making words making sounds making songs, now you can feel my heart spinning, you turn my whole life around, i want to write a new beginning, let go of the ghosts, let dreams and hopes lay, and give our love another try, should we just let it be, make love to me, my ghosts are not gone, they give the black core of my heart, making words making sounds making songs, now you can feel my heart spinning, you turn my whole life around, i want to write a new beginning, let go of the ghosts, let dreams and hopes lay, and give our love another try, should we just let it be, we ain't nothing without love, without love we ain't nothing, without love without love"")","songs, ghosts, write",1
16,"Pandas(Index=16, LYRICS=', come to your river, i will come to your river, i will come to your river, come to your river, i will come to your river, i will come to your river, wash my soul again, carry away my dead leaves, let me baptize my soul with the help of your waters, sink my pains and complains, let the river take them, river drown them, my ego and my blame, let me baptize my soul with the help of your waters, those all means are so ashamed, let the river take them, river drown them, come to your river, i will come to your river, i will come to your river, come to your river, i will come to your river, i will come to your river, wash my soul again, carry away my old leaves, let me baptize my soul with the help of your waters, sink my pains and complains, let the river take them, river drown them, my ego and my blame, let me baptize my soul with the help of your waters, those all means so ashamed, let the river take them, river drown them, come to your river, i will come to your river, i will come to your river, come to your river, i will come to your river, i will come to your river, wash my soul again,')","river, baptize, waters",1
17,"Pandas(Index=17, LYRICS=""moyuba echumingua y los orishas, moyuba oshun shango and yemaya, we hear laughter and we think of you, we walk on rhythm and we think of you, feeling our union and we think of you, receive your spirit and we think of you, moyuba echumingua y los orishas, moyuba oshun shango and yemaya, let's remember with rhythm our loved ones that are gone, all the joy when we're singing that no joy can destroy, we hear laughter and we think of you, we walk on rhythm and we think of you, feeling our union and we think of you, receive your spirit and we think of you, moyuba echumingua y los orishas, moyuba oshun shango and yemaya, if we sing they may come guiding all of our steps, you're living through us baba we're singing for you, we hear laughter and we think of you, we walk on rhythm and we think of you, feeling our union and we think of you, receive your spirit and we think of you"")","moyuba, singing, sing",1
18,"Pandas(Index=18, LYRICS=""where are you now? my man, my suitor, out of my life for good, have you gone behind the curtain?, be i so far, or very near, my baby just have no fear, leaving me uncertain, i am here, where are you now? my man, my father, far from my life for good, or in your ivory tower, have you gone behind the curtain?, be i so far, or very near, my baby just have no fear, leaving me uncertain, i am here, we know to our fright, and delight, that the stars will still shine in the night, that's how you'll last for me all night, forever in shadows, yet bright, dear audience, sweet spectator, we're together for good, or til i lose favour, have you gone behind the curtain?, be i so far, or very near, my baby just have no fear, leaving me uncertain, i am here, have you gone behind the curtain?, we are so far, oh very near, my baby just have no fear, i am here, ago inle ago, ago inle ago, ago inle ago ya, ago inle ago ya, ago moyuba lorisha moyuba o moyuba lorisha, ago moyuba lorisha moyuba o moyuba lorisha"")","curtain, moyuba, baby",1
19,"Pandas(Index=19, LYRICS=""no one is wrong or right, i want to end our fight, let's dance our way into the light, we never saw inside, love is not what has failed, why can't we both be saved?, for the older games we played, we have already paid, stranger lover, this day will be our last, stranger lover, if you're swallowed by the past, stranger lover, this day will be our last, stranger lover, come heal in my arms, today is a new day, we'll throw our regrets away, for the older games we played, we have already paid, stranger lover, this day will be our last, stranger lover, if you're swallowed by the past, stranger lover, this day will be our last, stranger lover, come heal in my arms, this day, this day. stranger lover, this day will be our last, stranger lover, if you're swallowed by the past, stranger lover, this day will be our last, stranger lover, come heal in my arms"")","stranger, end, lover",1
20,"Pandas(Index=20, LYRICS=""the man is gone, and mama says, she can't live without him, the man is gone, and mama says, there is no life without him, she has no one to stop her tears, a man who heals and calms down her fears, she needs to wake up in her man's arms, and to be loved just like a child, ooh ooh, ooh ooh, the man is gone, and mama says, that she can't live without him, the man is gone, and mama says, there is no life without him, how can i tell her the way i feel?, i'm afraid she'd be hurt and sink, it pisses me off, it drives me mad, that she lets herself feel so bad, ooh ooh, ooh ooh, the man is gone, and mama says, that she can't live without him, the man is gone, and mama says, there is no life without him"")","mama, tears, life",1
21,"Pandas(Index=21, LYRICS=""weatherman, when the thunder bursts i turn to you, weatherman, when the thunder bursts i turn to you, nature's aware, after winter there'll be spring, he says, oh the flow, trust your senses, abandon your face to the wind, he says, oh the flow, weatherman, when the thunder bursts i turn to you, weatherman, when the thunder bursts i turn to you, life is your gift, you can wish everything you fear, he says, oh the flow, love in endless, space is your beginning, your end, he says, oh the flow, weatherman, when the thunder bursts i turn to you, weatherman, when the thunder bursts i turn to you"")","weatherman, thunder, wind",1
22,"Pandas(Index=22, LYRICS=""it's always cold inside the icehouse, though the rivers never freeze, there's a girl outside the icehouse, i can see her clearly though the trees, and now she's dreaming of a new love, and she hopes he'll be there soon, but she's got so long to wait for him, because he needs another year to get there, there's no love inside the icehouse, the devil lives inside the icehouse, at least that's what the old ones say, he came along time ago, he came here in the winter snow, bow it's colder every day, but she's still dreaming through the summer, and she's hoping through the spring, she says she's got no time for winter nights, she doesn't notice as the days grow colder, she can't remember getting any older, there's no love inside the icehouse, and now she's dreaming of a new love, and she hopes he'll be there soon, she says she's got no time for winter nights, she doesn't notice as the days grow colder, she can't remember getting any older, there's no love inside the icehouse, there's no love inside the icehouse, the icehouse."")","winter, snow, cold",1
23,"Pandas(Index=23, LYRICS=""she comes walking down the street, that's the kind, hey, that's the kind i want to meet, i think i'm making it up, i should be putting it down, and it's beginning to show, i get it fixed in my head, and it won't let go, oh, i can't help myself, when i feel this way, i want to be someone else, when i get this feeling, it gets in my system, i can't put the brakes on, now she's walking next to me, that's the place, yeah, that's the place i want to be, i think i'm making it up, i should be putting it down, and it's beginning to show, i get it fixed in my head, and it won't let go"")","feeling, making, walking",1
24,"Pandas(Index=24, LYRICS=""there's something you ought to know, about the latest model, she's not the usual kind, she's made of mindless metal, she's not exactly normal, but i don't care she's, got to be the one, got to be the two, got to be the three, got to be the four, behind the scanners and tapes, she's programmed for perfection, but sometimes simple mistakes, get by without detection, her figures need correction, don't stand there takin' it, shake it up, sister, you've got nobody else but yourself, sister, don't stand there takin' it, shake it up, sister, one, two, three, four, give it hell, take it in, work it out, shake it up, sister, there's something you ought to know, about her calculation, behind the needles and lights, she hears the faded data, selects a random sample, the sample says i've, got to be the one, got to be the two, got to be the three, got to be the four"")","sister, model, shake",1
25,"Pandas(Index=25, LYRICS=""listen, if you listen, you will hear an endless heartbeat, on the inside, through the walls, the sound is crawling, down the corridors and halls, it cracks the ceiling, the windows and the doors, all the rest won't listen, though the walls have ears, but they never really look, they just stand and stare, they're all standing, staring at the walls, who put the writing on the walls?, will no-one ever know?, oh, well i don't mind the walls, tell me, why don't you tell me?, have you got nothing to say?, tell me where in hell this place is, tell me why i get no answers, am i talking, taking to the walls?, so it's running, jumping, standing still, well i think i've had enough of it all, get your hands up, up against the wall, (well, i'm never going back to the factory, no i'll never be a part of the machinery), who put the writing on the wall?, who fights and runs away?, the minutes and the hours pass him, tracing out the days, the days and nights drag into years, and no-one ever knows, oh, well i don't mind the walls, oh, well i don't mind the walls, i don't mind the walls"")","walls, wall, halls",1
26,"Pandas(Index=26, LYRICS=""we don't know this place, this wasted stretch of land, and these steaming horizons, it's locked in our past, it's stragely so familiar, like a scar on our memory, no sign of the ancient heroes, who gave us this one last hour, it's so still, there's so few of us here, there's no sound here at all, the last light disappears, with the sons of decay, the ones left to stay, for years we were lost, we slept as systems stored us, they sealed in our orders, we woke up alone, in this silence and this space, as if nothing happened, no sign of the ancient heroes, who left us this one long hour, it's so still, there's so few of us here, love, i'm feeling so small, all night, just waiting here, with the sons of decay, the ones left to stay"")","silence, disappears, stay",1
27,"Pandas(Index=27, LYRICS=""there must be something we can talk about, and maybe there's something here that we can do, no matter what your friends say, don't go too far, remember there's just one thing, whenever you come this way, you know i wouldn't get you down, i just like talking to you, it's raining outside, i shake my shoes, downstairs, you never stop dancing, you don't make much sense, no matter what your friends say, don't go too far, remember there's just one thing, whenever you come this way, maybe we can get together, we can get together, you know i wouldn't get you down, i just like talking to you, maybe we can get together, we can get together, later sometime, you can buckle my shoes, you can pick up my sticks, you can knock on my door, there must be something we can talk about, maybe there's something here we can do, don't go back home, babe, don't go too far, remember there's just one thing, whenever you come this way, maybe we can get together, we can get together, you know i wouldn't get you down, i just like talking to you, maybe we can get together, we can get together, later sometime, you can buckle my shoes, you can pick up my sticks, you can knock on my door, you know i walk in the rain, i said it rains in my heart, you ought to be in my shoes, won't you open that door, we can get together, we can get together, baby, we can get together, we can get together, later sometime, you can buckle my shoes, you can pick up my sticks, why don't you open that door"")","walk, talk, talking",1
28,"Pandas(Index=28, LYRICS='paris hearts all line the boulevarde, she shows her hand and says, please take a card""')","paris, boulevarde, card",1
29,"Pandas(Index=29, LYRICS=""fatman, fatman, fatman, fatman, on second avenue, night life is second nature, black jazz in numbers land, affairs are all night long, the girl's best friend is a fatman, he gives her pearls and diamonds, sometimes she looks so blown away, she hangs her head against the window, toasting brandies to her shadow, champagne from paris, france, cigars, the best havana, the boys don't like the way you do things, they might not understand, i don't want to hear about it, i don't want to talk about it, i don't want to read about the details in the paper, st. valentine's day blows away, leaves a fatman by the window, looking straight along the barrel, fatman, fatman, give me the gun, fatman, you're not fooling anybody, fatman, fatman, give me the gun, don't be like that baby, you're just no fun, fatman, fatman, give me the gun, fatman, you're not fooling anybody, fatman, fatman, give me the gun, don't be like that baby, you're just no fun, pink champagne from paris, france, cigars, the best havana, on second avenue, affairs are all night long, i don't want to hear about it, i don't want to talk about it, i don't want to read about the details in the paper, st. valentine's day blows away, leaves the fatman by the window, looking straight along the barrel, fatman, fatman, fatman, fatman, you're not fooling anybody, fatman, fatman, fatman, fatman, you're not fooling anybody, fatman, fatman, give me the gun, don't be like that baby, you're just no fun. fatman, fatman, fatman, fatman, you're not fooling anybody, fatman, fatman, give me the gun, don't be like that baby, you're just no fun."")","fatman, valentine, havana",1
30,"Pandas(Index=30, LYRICS=""the masquerader in the mirror, appears to be a total stranger to me, he slips a film of glow through a glove on his hand, and puts my features where his face ought to be, young flesh, young frame, slow pulse, no pain, the face he fits is unmistakably mine, without a trace he leaves the scene of the crime, the story always reads exactly the same, i need my live protection all the time, young flesh, young frame, slow pulse, no pain, inside my fit on skin, sometimes i wonder just where to begin, i need action, action, action, action, inside my fit on skin, i make a novel of everything, it's like fiction, fiction, fiction, fiction, inside my fit on skin, another side of my twin, the face he fits is unmistakably mine, without a trace he leaves the scene of the crime, the story always reads exactly the same, i need my live protection all the time, young flesh, young frame, slow pulse, no pain,"")","novel, mirror, fiction",1
31,"Pandas(Index=31, LYRICS=""inside this city, on this empty train, hoping that the late night never lets me go, i travel to the station, to the underground, where the dark is a friend to me, we race along the subways, he's a cold hand on my shoulder, he has a plan to get you nowhere, and the wind is a friend to me, we're singing on the sidewalk, with the gay boys in the back street, there's a new band and a new beat, well, i remember every now and then, some of the places that we used to go, but, baby, tonight i'm drunk and i don't care, and the dark is a friend to me, we race along the subways, with the gay boys in a back street, there's a new gang and a new beat, now it all comes back to me, we're singing on the sidewalk, there's a cold hand on my shoulder, another plan will get you nowhere, now it all comes back to me, you look so stranded, are you all alone?, i wish there was something more that i could say, you may be someone that i used to know, now that's a memory, that was yesterday, so take a hold, now, don't ever let love go, don't give it up, now, don't ever let them know, you shake me, babe, you shake me, babe, you give it up so fine, you shake so fine, they turn their faces and they hide their eyes, they don't want to understand, they tell you love is a lie, there's a man on the corner, screaming at the street"")","singing, train, stranded",1
32,"Pandas(Index=32, LYRICS=""we need, all need something, to believe, and i need someway, to be what i am, 'cause that's my world, to take up the chance, and it's my life, i do what i can, can you send somebody?, i don't want to be, the last survivor, can you send somebody?, send somebody? be with me, hey, send somebody?, i don't want to be, the last survivor, can you send somebody, hey?, send somebody, be with me, hey, just secret lovers understand, they hide in the shadows, they write in the sand, 'cos that's their world, oh oh, it's just a romance, and it's their life, they do what they can, can you send somebody?, i don't want to be, the last survivor, can you send somebody, hey?, can you send somebody? be with me, hey, send somebody?, i don't want to be, the lone survivor, can you send somebody, hey?, can you send somebody? be with me, hey, can you send somebody?"")","survivor, lone, lovers",1
33,"Pandas(Index=33, LYRICS=""as the sun goes is sinking, deep in the west, the day makes an end, that's when love is stealing, around every corner, around every bend, falling for temptation, well, i've already made that very mistake, she puts an offer to me, too good to refuse, it's easy to take, so what can i do about it, girl?, guess that's the way it's meant to be, and if you should want to go, i wouldn't make you stay, you know i don't care about tomorrow, when tonight you're on my side, hoping this time around, we make it all the way, all the way, the taste is sweet sensation, it's all that i want, it's all that we need, now we're getting that hesitation, when you tell me you're true, it's hard to believe, too much cool deception, oh, it goes through my head, it's always the same, making eyes is cheating, and the very first kiss is where it begins, so what can i do about it, girl?, guess that's the way it's meant to be, and if you should want to go, how could i make you stay, you know i don't care about tomorrow, when tonight you're on my side, praying this time around, we make it all the way, the way to your heart, so the sun is sinking, deepin the red, the blade makes an end, love comes stealing softly, around every corner, around every bend, we're alway cheating, and the very first kiss is where we begin, goes 'round every corner, around every bend, lovin' it all the way to the end"")","temptation, kiss, stay",1
34,"Pandas(Index=34, LYRICS=""standing at the limit of an endless ocean, stranded like a runaway lost at sea, city on a rainy day down in the harbor, watching as the gray clouds shadow the bay, looking everywhere 'cause i had to find you, this is not the way that i remember it here, anyone will tell you it's a prisoner island, hidden in the summer for a million years, great southern land, burned you black, so you look into the land, it will tell you a story, story about a journey ended long ago, listen to the motion of the wind in the mountains, maybe you can hear them talking like i do, they're gonna betray you, they're gonna forget you, are you gonna let them take you over that way?, great southern land, great southern land, you walk alone, like a primitive man, and they make it work, with sticks and bones, see their hungry eyes, it's a hungry home, i hear the sound, of the strangers' voices, i see their hungry eyes, their hungry eyes, great southern land, great southern land, they burned you black, black against the ground, standing at the limit of an endless ocean, stranded like a runaway lost at sea, city on a rainy day down in the harbor, watching as the gray clouds shadow the bay, looking everywhere, i had to find you, this is not the way that i remember it here, anyone will tell you it's a prisoner island, hidden in the summer for a million years, great southern land, in the sleeping sun, you walk alone, with the ghost of time, well, they burned you black, black against the ground, and they make it work, with rocks and sand, i hear the sound, of the strangers' voices, i see their hungry eyes, their hungry eyes, great southern land, great southern land, you walk alone, like a primitive man, you walk alone, with the ghost of time, and they burned you black, yeah, they burned you black, great southern land, great southern land, great southern land, great southern land"")","ocean, lost, island",1
35,"Pandas(Index=35, LYRICS='well you want, to be in the gang, and you\'ve got, got to join the team, to be on the team, you must play to win, you play to win, you may not make it home, up the hill, down again, you\'re the one, every body wears a badge, uniform, soldier boys!, we\'ve got plans for you, a brand new game, we call it mass control""')","gang, soldier, control",1
36,"Pandas(Index=36, LYRICS=""hey, hey, when everything goes wrong, sometimes it makes no sense, hey, hey, there once was a time, i should have known better then, hey, hey, although you may try, it won't come your way again, hey, little girl, where will you hide, who can you run to now, hey, little girl, where will you go, who can you turn to now, hey, hey, so why should i care, if somebody let you down, hey, hey, that's nothing new, i know just what that can mean, hey, hey, well, the way that they talk, the talk is all over town, hey, hey, and it's no surprise, little girls hurt sometimes, hey, little girl, where will you hide, who can you run to now, hey, little girl, where will you go, who can you turn to now, hey, hey, when everything goes wrong, sometimes it makes no sense, hey, hey, hey, little girl, i should have known better, known better then, hey, hey, hey, little girl, where will you hide, who can you run to now, hey, little girl, where will you hide, who can you run to now, hey, little girl, where will you go, who can you turn to now"")","talk, girls, little",1
37,"Pandas(Index=37, LYRICS=""if there were no tomorrows, if there was just one more chance, i'd take it again, you know i'd take it again, you turn and it's gone forever, in time you forget, you know that's love, it's only love, and no matter where the days have left you, every day ends at the street cafe, the street cafe, and no matter where the road may take you, every time it brings you back to the street cafe, it's where you have to be, well the people may come and go but, here the street and the scene is just, the way that it was, the way that it was, no nothing will ever change here, maybe a smile reminds you, now and again, you wonder now and again, when another night will take you nowhere, you go down to the street cafe, and any time you know the crowd can hide you, the days end at the street cafe, yeah the street cafe, you turn and it's gone forever, in time you forget, you know that's love, you know it's only love, but no matter where the days have left you, every day ends at the street cafe, the street cafe, and no matter where the road may take you, every time it brings you back to the street cafe, yeah the street cafe, oh no no no, no matter where the road may take you, we'll meet again someday, you know we'll meet someday, someday at the street cafe"")","street, cafe, road",1
