,lyricid,lyricinfo,length
10,"Pandas(Index=10, LYRICS="", il te faudra partir, au lever du soleil, quitter cette vie, qui tous les jours pareil, detruira tes reves, derangera ton ciel, plier tous tes bagages, partir avec les tiens, entreprendre un voyage, qui te menera plus loin, ne te retourne pas, mon visage sera toi, et pousse par tous les vents, meme si certains retiendrons ta foi, ne regarde que la lumiere, et eleve la voix, chante plus fort, et marche encore, on parle de toi, assouvir ce desir, d'etre enfin le roi, d'etendues si vastes, que tu n'imaginais pas, tout tenir dans tes mains, mais tu y es deja, ne te retourne pas, au lever du soleil, mon visage sera toi,"")",pas,1
11,"Pandas(Index=11, LYRICS=""petite rose bien esseulee, recherche tendre jardinier, pour cultiver des tendresses, pres d'une grande maison fleurie, petit navire fuyant l'hiver, recherche capitaine au long cours, pour entreprendre une croisiere, sur un ocean d'amour, urgent desir, vous rencontrer, soit pour la vie, soit pour l'ete, tout effacer, recommencer, urgent desir, je suis femme douce et feline, la nuit j'ai le corps andalou, l'amour me rend caline, j'ignore les tabous, si tu as l'ame de poete, et tu te sent bien dans la tete, si ton coeur est de boheme, je saurai dire je t'aime, urgent desir, vous rencontrer, soit pour la vie, soit pour l'ete, peur de mourir, sans etre aimee, urgent desir"")",poete,1
12,"Pandas(Index=12, LYRICS=""les amoureux de l'an deux mille, cherchent a comprendre, que seules leurs mains restent mobiles, pour se defendre, ils transmettent par ordinateur, chacun des battements de leur coeur, les amoureux de l'an deux mille, viennent juste d'apprendre, que pour se cabler sur la ville, faut etre internet tendre, pour garder l'envie d'exister, presser sur start et demarrer, debranchez moi, je voyage vers ce monde la, monde sans ete, monde sans hiver, je prefere bruler en enfer, debranchez moi, videz ma tete de ce metal, arrachez ces cables et faites moi mal, reanimez l'animal, les amoureux de l'an deux mille se synthetisent, en plusieurs sentiments steriles, qui s'electronisent - s'informatisent, un simple rendez vous magique, passe par un module de plastique, les amoureux de l'an deux mille, n'ont plus rien a craindre, on fera l'amour cybernetique, on vient de s'eteindre"")",amoureux,1
13,"Pandas(Index=13, LYRICS=""feels like you've built a wall around me, you've tried your best to ground me, let me explain that i don't play by any other rules, i won't be nobody's fool - i won't lose this game, there is no way, i can love you with half of my heart, it would tear me apart, i am who i am, what else could i be, and i'll stand where i stand, i chose to be me, when you look in my eyes, you get what you see, understand if you can, that i am who i am who i am, think twice before you try to read me, before you try to lead me into your trap, you've got no right to play with my emotion, 'cause you should know that i'm much deeper than that, there is no way, i can love you with half of my heart, it would tear me apart, there is no way, i can love you with half of my heart, it would tear me apart"")",fool,1
14,"Pandas(Index=14, LYRICS=""every night, every day, i tell my heart, to forget you and to, move away, not to break, anymore, but oh, no matter, what i say, you're so deep in my mind, there's no way to leave this love behind, it used to be, i believed, i could go on, and find someone to, rest upon, anyone, anyone, soon i found, there was no other, there you are, framed against the sky, you are my life, and i pray for when, you will be mine, to love again, i see the rain, in the sky, and i see your face, through every tear that i cry, with every breath, and every sound, i can hear, another voice and swear that, you're around, and every word is clear, cause i know, the memory won't let go, until you're mine, to love again, who's to say what lives in the past, who's to say that love won't last, time's been standing still, waiting so patiently until, until that one day when, when i will have you, to love again, and there you are, framed against the sky, you are my life, and i pray for when, you will be mine, to love again"")",love,1
15,"Pandas(Index=15, LYRICS=""i don't know what is going on, you turn around and touch my heart, a silent moment speaks the truth, something has happened all at once, it should have scared me in advance, but i was falling in those eyes of yours, and so, fear was gone, i knew there was nothing else, i'd ever want, i know you, you're not from here, i've waited for you to appear, to take my breath away, and make me weep, you're not from here, not from this here and now, just a touch of yours, and i fly. and i fly. and i fly, i can't get used to missing you, if this is how it's gotta be, i need an angel to watch over me, no one can hold the hands of time, but i can hold you in my mind, over and over like a melody, for now, i'll stand still, for now, i'll be filled by the memory of your skin, i know you, you're not from here, you don't belong to lies and tears, the greatness of your soul, makes me weep, you're not from here, not from this here and now, just a touch of yours, and i fly. and i fly. and i fly,"")",melody,1
16,"Pandas(Index=16, LYRICS=""and the sunlight on your face, it's a memory i'll never replace, never thought i'd have to try to let it go, now if you're gettin' on all right, i was hopin' that maybe you'd show me, what to do, how to make it through, till i get over you, i can give, i can live a lie, till i get over you, i can save one prayer for love, till i get over you, i can live, i can live, till i get over you, and i could never give enough, couldn't save it with all my love, watched you walk out leaving me there wanting more, now i can't get through the night, and i'm drowning but i would be damned babe, if you knew, i can make it through, chorus, and the sunlight on your face, maybe someday i will erase, but if i do, could i make it through, through this world without loving you, till i get over you, i can give, i can live a lie, till i get over you, i can save one prayer for love, till i get over you, i can live, i can live"")",chorus,1
17,"Pandas(Index=17, LYRICS=""i remember the rain on the roof that morning, and all the things that i wanted to say, the angry words that came from nowhere without warning, that stole the moment and sent me away, and you standing there at the, doorway crying, and me wondering if i'd ever be back, i said i didn't come here to leave you, i didn't come here to lose, i didn't come here believing i would ever be away from you, i didn't come here to find out, there's a weakness in my faith, i was brought here by the power of love, love by grace, and i remember the road just, went on forever, just couldn't seem to turn that, car around, 'til in the distance like a long, lost treasure, a phone booth that just could, not be found, and you standing there at the, doorway waiting, and the moment when we laid, back down, that was just a moment in time, and one we'll never forget, one we can leave behind, 'cause when there was doubt, you'll remember i said, i didn't come here believing i would ever be away from you, i didn't come here to find out, there's a weakness in my faith, i was brought here by the power of love, i was brought here by the power of love, love by grace"")",faith,1
18,"Pandas(Index=18, LYRICS=""just like the sea, no one possesses you, and no one can go down to, the deepest side of you, just like a tree, decades and memories, articulate and seal, every one of your dreams, when i need you i secretly sing you this part of my soul, yeliel, my angel, know that i can hear you, and every word you speak is holy, wind caressing me, yeliel, my angel, know that i can see you, and when i fall i feel your arms around my destiny, protecting me, i do believe, some things are mysteries, the simple fact that we stand alive, that we breathe, why do i love, why do i hate and die, where do these things all lie, i don't know why i cry, when i need you i secretly sing you this part of my soul, why do i love, why do i hate and die, where do these things all lie, i don't know why i cry, when i need you i secretly sing you this part of my soul,"")",soul,1
19,"Pandas(Index=19, LYRICS=""did i ever tell you how you live in me, every waking moment, even in my dreams, and if all this talk is crazy, and you don't know what i mean, does it really matter, just as long as i believe, i will love again, though my heart is breaking, i will, love again, stronger than before, i will love again, even if it takes a lifetime to get over you, heaven only knows, i will love again, people never tell you, the way they truly feel, i would die for you gladly, if i knew it was for real, so if all this talk sounds crazy, and the words don't come out right, does it really matter, if it gets me through this night, if i'm true to myself, nobody else can take the place of you, but i've got to move on, tell me what else can i do, i will love again, one day i know, i will love again, you can't stop me from loving again, breathing again, feeling again, i know, one day, i'll love again"")",talk,1
20,"Pandas(Index=20, LYRICS=""tell me her name, i want to know, the way she looks, and where you go, i need to see her face, i need to understand, why you and i came to an end, tell me again, i want to hear, who broke my faith in all these years, who lays with you at night, when i'm here all alone, remembering when i was your own, i'll let you go, i'll let you fly, why do i keep on asking why?, i'll let you go now that i found a way to keep somehow, more than a broken vow, tell me the words i never said, show me the tears you never shed, give me the touch, that one you promised to be mine, or has it vanished for all time, i close my eyes, and dream of you and i, and then i realize, there's more to life than only bitterness and lies, i close my eyes, i'd give away my soul to hold you once again, and never let this promise end, i'll let you go, i'll let you fly, now that i know i'm asking why, i'll let you go now that i found a way to keep somehow, more than a broken vow"")",vow,1
21,"Pandas(Index=21, LYRICS=""non so dove trovarti, non so come cercarti, ma sento una voce che, nel vento parla di te, quest' anima senza cuore, aspetta te, adagio, le notti senza pelle, i sogni senza stelle, immagini del tuo viso, che passano all' improvviso, mi fanno sperare ancora, che ti trovero, adagio, chiudo gli occhi e vedo te, trovo il cammino che, mi porta via, dall' agonia, sento battere in me, questa musica che, ho inventato per te, se sai come trovarmi, se sai dove cercarmi, abbracciami con la mente, il sole mi sembra spento, accendi il tuo nome in cielo, dimmi che ci sei, quello che vorrei, vivere in te, il sole mi sembra spento, abbracciami con la mente, smarrita senza di te, dimmi chi sei e ci credero, musica sei, adagio"")",trovarmi,1
22,"Pandas(Index=22, LYRICS=""time stands still, as you turn away, all my thoughts run wild, for a word to say, should i reach for you, could it be too late, can we give it one more try, here we stand, on the border line, and i search my heart, for a reason why, did i love too much, did i hold too tight, can we leave it all behind, oooh baby, can we give it one more try, i still want you by my side, oooh baby, you're the best thing in my life, can we give it one more try, before we say goodbye, all of your life, you never took a chance, so if you have to go, i will understand, but can you hold me now, think of what we had, let me love you one more time, oooh baby, can we give it one more try, i still want you by my side, oooh baby, you're the best thing in my life, can we give it one more try, before we say goodbye, oooh baby, you're the best thing in my life, can we give it one more try, before we say, i don't wanna say, before we say goodbye, before we say goodbye"")",goodbye,1
23,"Pandas(Index=23, LYRICS=""oh oh oh oh. finding you felt like the rain, falling unexpectedly, when all i could feel was rain, you came along and set me free, you have been my fantasy, until the day you held my face, my heart finally found its place, you entered my reality, like ivy you've wrapped around me, on roses i walk, as soon as you talk, like ivy you've grown inside me, i know that you'll stay, i don't need to pray anymore, i don't need to pray, somehow you stole all the pain away, ivy i'm yours, yours, oh oh oh oh. you are beauty inside-out, like this painting on the wall, all the colours that you've got, don't need any light at all, chorus, oh oh oh oh. finding you felt like the rain."")",chorus,1
24,"Pandas(Index=24, LYRICS=""ah, wandering like a leaf upon the wind, i have been searching for someone, holding out for a love to shake my soul, heaven or nothing, then you walked into my life, in a blaze of light, i've never wanted someone more, you are the one i've waited for, light of my life, you're the fire in my heart, when i am lost, i know i'll feel you burning in the dark, you're the light of my life, every star in the sky, shines more brightly when you're at my side, you're the light of my life mmm!, and dreaming, i feel you next to me, no, i'm not dreaming, cause i'm drowning in your kiss, i die in your arms, and when i hear you call my name, baby, it's like i'm born again, light of my life, you're the fire in my heart, when i am lost, when you're lost i know, i'll feel you burning, burning in the dark, you're the light of my life, every star in the sky, shines more brightly when you're at my side, you're the light of my life, yeah, your love's a lantern in the rain, bringing me home time and again, burning like an eternal flame, light of my life, you're the beat of my heart, when i am lost, when you're lost i know, you'll see me shining, shining in the dark, you're the light of my life, like the stars in the sky, only you can take me through, you're the only one who makes it right, only you set fire to the night, you're the light, you're the light of my life, mmm, oh"")",wander,1
25,"Pandas(Index=25, LYRICS=""la-la-la, mmmmmm, did i ever tell you, how you live in me, every waking moment, even in my dreams, and if all this talk is crazy, and you don't know what i mean, does it really matter, oh, just as long as i believe, i will love again, though my heart is breaking, i will love again, stronger than before, i will love again, even if it takes a lifetime to get over you, heaven only knows, i will love again, mmmi will love again, mmmoh, yeah, people never tell you, the way they truly feel, i would die for you gladly, if i knew it was for real, so if all this talk sounds crazy, and the words don't come out right, does it really matter, if it gets me through this night, i will love again, though my heart is breaking, i will love again, stronger than before, i will love again, even if it takes a lifetime to get over you, heaven only knows, if i'm true to myself, nobody else can take the place of you, but i've got to move on, tell me what else can i do?, i will love again, though my heart is breaking, i will love again, stronger than before, mmm, i will love again, even if it takes a lifetime to get over you, heaven only knows, i will love again, i will love again, though my heart is breaking, i will love again, stronger than before, i, i will love again, even if it takes a lifetime to get over you, to get over you, heaven only knows, i know one day i'll love again, i know one day i'll love again, you can't stop me from loving again, breathing again, feeling again, i know one day i'll love again, again, again, again, again"")",la,1
26,"Pandas(Index=26, LYRICS='apareciste asi, y fue el destino que nos quiso reunir, algun camino de otro tiempo mas feliz, te trae de nuevo aqui, mi vida amanecio, y cada luz de mi universo se encendio, en otro rostro me dijiste aqui estoy yo, y yo te conoci, y mi vida te ofreci, quedate, que este tiempo es nuestro, y el amor tiene ganas de volver, oh, quedate, hoy no te me vayas como ayer, te fuiste aquella vez, y yo en mis suenos tantas veces te busque, entre los angeles tu voz imagine, asi me conforme, pero ahora te encontre, quedate, que este tiempo es nuestro, y el amor tiene ganas de volver, oh quedate, no me dejes sola otra vez, que la noche es larga, si no estoy contigo, si otra vez me lanzas al abismo, si otra vez te vas, quedate, por favor, por siempre, quedate, que este tiempo nuevo, como el sol nos abriga el corazon, oh quedate, quedate, que no vuelva el frio en el adios, quedate, que este tiempo es nuestro, y el amor solo quiere renacer, oh quedate, quedate, hoy no te me vayas como ayer, quedate')",es,1
27,"Pandas(Index=27, LYRICS='tengo que decirte, que vives solo en mi, en cada momento, dia y noche, asi, y si estoy hablando en vano, y no puedes comprender, ahora ya no importa, solo tengo que creer, que otro amor vendra, si hoy estoy muriendo, otro amor vendra, otro amor mejor, otro amor vendra, porque voy a dedicarme, a vivir sin ti, para ser feliz, otro amor vendra, puedes ser tan falso, y puedes ser tan cruel, y yo que moriria, por que tu me fueras fiel, y si estoy hablando en vano, y si estoy hablando mal, ahora ya no importa, lo que quiero es terminar, que otro amor vendra, si hoy estoy muriendo, otro amor vendra, otro amor mejor, otro amor vendra, porque voy a dedicarme, a vivir sin ti, quiero ser feliz, no me voy a enganar, se que al final nunca te olvidare, pero que puedo hacer, debo ser fuerte y luchar, otro amor vendra, si hoy estoy muriendo, otro amor vendra, sera mejor, otro amor vendra, porque voy a dedicarme, a vivir sin ti, voy a ser feliz, otro amor vendra, ya lo veras, otro amor vendra, ya veras como quiero otra vez, siento otra vez, vivo otra vez, y el amor llegara otra vez, otra vez')",amor,1
28,"Pandas(Index=28, LYRICS='sin este abrazo al despertar, sin tus gestos al hablar, sin tu complicidad, sin tus planes imposibles, sin tu amor, y el resto que me queda de dolor, que hare, con este corazon herido, sin tus promesas de papel, sin un sorbo de tu amor emborrachandome, sin un beso sobre el beso que te di, tu cuerpo acostumbrandome, que hare sin ti con este corazon herido, sin los suenos que soltamos a volar, las paginas escritas por azar, que hare sin ya no estas aqui conmigo, como vivir sin ti, ensename a abrir de nuevo el cielo, no puedo vivir sin ti, me ahogo en el trago de cada recuerdo, y dime que hare sin ti, necesito de tu amor para vivir, sin los momentos de pasion, y las tardes en silencio respirando al mar, sin tus ojos en mis ojos otra vez, mis manos se deshacen de esperar tu piel, calmando el corazon herido, sin tu luna en cada noche, sin tu voz, sin nada mas certero que tu adios, que hare, si ya no puedo estar contigo, como vivir sin ti, ensename a abrir de nuevo el cielo, no puedo vivir sin ti, me ahogo en el trago de cada recuerdo, y dime que hare sin ti, necesito tu locura, hazme un sitio en tu ternura, y dime como vivir sin ti, ensename a abrir de nuevo el cielo, no puedo vivir sin ti, me ahogo en el trago de cada recuerdo, y dime que hare sin ti, necesito que regreses junto a mi, y dime que hare sin ti, necesito de tu amor para vivir')",calmando,1
29,"Pandas(Index=29, LYRICS=""d'ici rien ne part, rien de bouge, arret sur ecran vivant, isolee, vaincue, sans doutes, alienee, pas meme un battement, j'aimerai qu'on me ramene, je ne reconnais plus les gens, seule tout au fond de ma haine, la peine est mon dernier amant, il faudrait que je me leve, respire et marche vers l'avant, batisse a nouveau la greve, enterree par mes sables mouvants, et me souvenir celle, qui n'existe plus vraiment, redevenir la rebelle, et la bete vaincue par l'enfant, j'y crois encore, on est vivant tant qu'on est fort, on a la foi quand on s'endort la rage au ventre, j'y crois encore, a tout jamais, jusqu'a la mort, le silence a eu tort, j'y crois encore, et que le l'espace ou j'en creve, devienne un autre neant, quand le ciel devoile souleve, en moi l'ame et l'emoi d'un geant, me retourner sans un geste, le passe m'en passer vraiment, cracher sur tout ce qui blesse, ramener le futur au present, j'y crois encore, on est vivant tant qu'on est fort, on a la foi quand on s'endort la rage au ventre, j'y crois encore, a tout jamais, jusqu'a la mort, le silence a eu tort, j'y crois encore, j'y crois encore, a tout jamais, encore plus fort, le silence a eu tort, j'y crois encore"")",vivant,1
30,"Pandas(Index=30, LYRICS=""que faire de la terre qui ne tourne pas, que faire de l'enfer, je n'y descends pas, pour qui cette mer qui ne berce pas, et puis l'ephemere, je n'y reste pas, je me demandais si tu comprendrais, mais comprendre quoi?, les mots, ca ne retient pas. j'irai toujours la ou c'est calme, j'irai toujours la ou c'est droit, ou l'infini sera ma flamme, mais ca, jamais tu ne le verras, c'etait pas toi, je n'savais pas, je n't'en veux pas, pas plus qu'a moi, que faire de nos guerres, je n'y tomberai pas, echec et mat hier, je n'y reviens pas, apprendre et se taire, en casser parfois, inspirer de l'air, expirer de toi, je me demandais, si tu m'entendais, mais entendre quoi, les mots qui ne retiennent pas, j'irai toujours la ou c'est calme, j'irai toujours la ou c'est droit, ou mon honnetete desarme, ce que jamais tu ne comprendras, j'ai appris a travers ces larmes, qu'il faut en aimer mieux que ca, que les mensonges sont comme des lames, qui tranchent et je n'y coupe pas, j'irai toujours la ou c'est calme, j'irai toujours la ou c'est droit, ou l'infini sera ma flamme, mais ca, jamais tu ne le verras, c'etait pas toi, je n'savais pas, je ne le savais pas, mais je n't'en veux pas, pas plus qu'a moi, que faire de. aimer deja"")",pas,1
31,"Pandas(Index=31, LYRICS=""il n'y a vraiment plus rien qui te retienne, la couleur de ce destin n'est plus la tienne, et ce qui te tend les mains en vaut la peine, il te faudra te choisir cette fois, d'hier il n'y a que le bien que tu emmenes, bien que tu sois loin deja, encore s'eteignent, les feux allumes par tes envies soudaines, de n'etre qu'a toi ce que tu n'osais pas, et s'en aller, comme on s'egare pour mieux recommencer, le moment est arrive, et s'en aller, comme on revient, comme on revient vers soi enfin, d'une histoire a l'autre tu changeais de reperes, comme si le soleil tournait autour de la terre, et depuis que tu vis ta vie a ta maniere, tu te recois 5 sur 5 cette fois, et s'en aller, comme on s'egare pour mieux recommencer, le moment est arrive, et s'en aller, comme on revient, comme on revient vers soi enfin, et s'en aller, comme on s'avoue que vivre a commencer, c'est le moment de verite, et s'en aller, comme on revient vers soi, il fallait une moitie de vie, pour arreter de retenir, la force qui pousse l'autre demie, a tout changer, a te redevenir, et s'en aller, comme on s'egare pour mieux recommencer, le moment est arrive, et s'en aller, comme on s'avoue que vivre a commencer, c'est le moment de verite, et s'en aller, comme on s'egare pour mieux recommencer, c'est le moment de verite, et s'en aller, comme on revient, comme on revient vers soi enfin, la c'est le moment, de la verite, veritablement, et puis s'en aller, la c'est le moment, de tout avouer, declarer clairement, toute la verite"")",changeais,1
32,"Pandas(Index=32, LYRICS=""j'ai tant appris, de ces moments de detresse, et si j'ai grandi, c'est au prix de la forteresse, ou dorment les reves, un peu trop fous, je reve mieux depuis, ce qui m'a aidee, c'est pas vraiment ce qui blesse, mais plutot le bruit, qui nous guette quand ce qui reste, est un defi, qui remplit l'espace, qu'aucun mot ne remplace, le silence, c'est l'ami tout au fond d'un regard, qui nous crie ce qu'on ne veut pas voir, une derniere chance, alors que l'on s'egare, en silence, on est demain, soudain j'entends quelques pas, pourtant y a plus rien, enfin y a plus rien que moi, et la j'ai compris, qu'il est parti, en me laissant ce cri, le silence, c'est l'ami tout au fond d'un regard, qui nous crie ce qu'on ne veut pas voir, une derniere chance, alors que l'on s'egare, le silence, qui nous laisse au bout de ce couloir, qui nous regarde dans ce miroir, et qui reprend sa place, quand on se refait face, en silence, le silence, c'est l'ami tout au fond d'un regard, qui nous crie ce qu'on ne veut pas voir, une derniere chance, alors que l'on s'egare, en silence. en silence"")",pas,1
33,"Pandas(Index=33, LYRICS=""tout ne rime a rien quand on n'a meme plus peur, toutes les raisons de rester sont les leurs, rien ne te retient, surtout pas le bonheur, que tu ne cherches plus, c'est plus l'heure, je suis la pour ne pas regretter l'absence, des mots et des liens qui empechent le silence, dis moi s'il te plait ce qu'on verra trop tard, le dernier aveu est-il ce regard?, parce que tu pars, parce que tu pars, on restera brise devant l'irreparable, parce que tu pars, parce que tu pars, on eteindra tout contre soi l'intolerance, parce que tu pars, jure le que cet echec, n'est pas ton avenir, ce qui t'aura pris la tete, oublie-le pour te choisir, et si tu veux bien, on cassera la gueule, a ce coup du destin, qui rend seul, parce que tu pars, parce que tu pars, on restera brise devant l'irreparable, parce que tu pars, parce que tu pars, on eteindra tout contre soi l'intolerance, parce que tu pars, parce que tu pars, parce que tu pars, parce que tu pars, on questionnera chaque journee inevitable, parce que tu pars, parce que tu pars, on eteindra tout contre soi l'intolerance, parce que tu pars, parce que tu."")",pas,1
